region,gender,count,year,age_band
서울동부,남,52568,2009,10대
서울동부,여,40774,2009,10대
부산,남,47231,2009,10대
부산,여,28921,2009,10대
대구·경북,남,47181,2009,10대
대구·경북,여,33048,2009,10대
인천,남,28477,2009,10대
인천,여,22756,2009,10대
울산,남,19124,2009,10대
울산,여,9788,2009,10대
경기,남,34993,2009,10대
경기,여,22092,2009,10대
강원,남,15185,2009,10대
강원,여,7447,2009,10대
충북,남,25949,2009,10대
충북,여,11365,2009,10대
대전·세종·충남,남,41630,2009,10대
대전·세종·충남,여,21135,2009,10대
전북,남,32851,2009,10대
전북,여,17158,2009,10대
광주·전남,남,44918,2009,10대
광주·전남,여,37491,2009,10대
경남,남,29087,2009,10대
경남,여,11788,2009,10대
제주,남,7109,2009,10대
제주,여,6783,2009,10대
서울중앙,남,72902,2009,20대
서울중앙,여,26715,2009,20대
서울서부,남,68072,2009,20대
서울서부,여,21726,2009,20대
서울남부,남,82791,2009,20대
서울남부,여,26497,2009,20대
서울동부,남,57881,2009,20대
서울동부,여,21817,2009,20대
부산,남,72756,2009,20대
부산,여,21582,2009,20대
대구·경북,남,72738,2009,20대
대구·경북,여,24984,2009,20대
인천,남,39053,2009,20대
인천,여,13082,2009,20대
울산,남,23723,2009,20대
울산,여,4898,2009,20대
경기,남,49619,2009,20대
경기,여,14010,2009,20대
강원,남,38340,2009,20대
강원,여,5962,2009,20대
충북,남,39312,2009,20대
충북,여,7569,2009,20대
대전·세종·충남,남,67126,2009,20대
대전·세종·충남,여,17845,2009,20대
전북,남,40263,2009,20대
전북,여,10018,2009,20대
광주·전남,남,60979,2009,20대
광주·전남,여,20704,2009,20대
경남,남,41255,2009,20대
경남,여,6980,2009,20대
제주,남,10985,2009,20대
제주,여,3609,2009,20대
서울중앙,남,24805,2009,30대
서울중앙,여,5640,2009,30대
서울서부,남,25705,2009,30대
서울서부,여,5243,2009,30대
서울남부,남,27974,2009,30대
서울남부,여,5316,2009,30대
서울동부,남,18591,2009,30대
서울동부,여,5216,2009,30대
부산,남,28349,2009,30대
부산,여,3812,2009,30대
대구·경북,남,18853,2009,30대
대구·경북,여,3655,2009,30대
인천,남,13894,2009,30대
인천,여,2958,2009,30대
울산,남,8019,2009,30대
울산,여,1139,2009,30대
경기,남,23029,2009,30대
경기,여,3950,2009,30대
강원,남,6475,2009,30대
강원,여,1129,2009,30대
충북,남,7934,2009,30대
충북,여,979,2009,30대
대전·세종·충남,남,18425,2009,30대
대전·세종·충남,여,2493,2009,30대
전북,남,12647,2009,30대
전북,여,1595,2009,30대
광주·전남,남,19839,2009,30대
광주·전남,여,3583,2009,30대
경남,남,14435,2009,30대
경남,여,1394,2009,30대
제주,남,4276,2009,30대
제주,여,935,2009,30대
서울중앙,남,10906,2009,40대
서울중앙,여,1915,2009,40대
서울서부,남,9731,2009,40대
서울서부,여,1751,2009,40대
서울남부,남,11035,2009,40대
서울남부,여,2030,2009,40대
서울동부,남,9072,2009,40대
서울동부,여,2851,2009,40대
부산,남,8405,2009,40대
부산,여,1680,2009,40대
대구·경북,남,9518,2009,40대
대구·경북,여,1695,2009,40대
인천,남,6388,2009,40대
인천,여,1664,2009,40대
울산,남,4859,2009,40대
울산,여,624,2009,40대
경기,남,11406,2009,40대
경기,여,1871,2009,40대
강원,남,2998,2009,40대
강원,여,711,2009,40대
충북,남,4008,2009,40대
충북,여,565,2009,40대
대전·세종·충남,남,9448,2009,40대
대전·세종·충남,여,1345,2009,40대
전북,남,4365,2009,40대
전북,여,747,2009,40대
광주·전남,남,9143,2009,40대
광주·전남,여,2002,2009,40대
경남,남,6709,2009,40대
경남,여,684,2009,40대
제주,남,1987,2009,40대
제주,여,464,2009,40대
서울중앙,남,3453,2009,50대
서울중앙,여,515,2009,50대
서울서부,남,2932,2009,50대
서울서부,여,425,2009,50대
서울남부,남,3549,2009,50대
서울남부,여,645,2009,50대
서울동부,남,3286,2009,50대
서울동부,여,807,2009,50대
부산,남,3237,2009,50대
부산,여,561,2009,50대
대구·경북,남,3094,2009,50대
대구·경북,여,434,2009,50대
인천,남,1989,2009,50대
인천,여,397,2009,50대
울산,남,1519,2009,50대
울산,여,122,2009,50대
경기,남,3100,2009,50대
경기,여,466,2009,50대
강원,남,1200,2009,50대
강원,여,192,2009,50대
충북,남,1506,2009,50대
충북,여,163,2009,50대
대전·세종·충남,남,2700,2009,50대
대전·세종·충남,여,286,2009,50대
전북,남,1292,2009,50대
전북,여,160,2009,50대
광주·전남,남,2538,2009,50대
광주·전남,여,429,2009,50대
경남,남,2005,2009,50대
경남,여,160,2009,50대
제주,남,588,2009,50대
