gender,job,region,year,count
남,대학생,서울남부,2007,30712
남,대학생,서울동부,2007,28542
남,대학생,부산,2007,44089
남,대학생,대구·경북,2007,33858
남,대학생,인천,2007,14791
남,대학생,울산,2007,11931
남,대학생,경기,2007,17489
남,대학생,강원,2007,7118
남,대학생,충북,2007,16665
남,대학생,대전·세종·충남,2007,26992
남,대학생,전북,2007,20383
남,대학생,광주·전남,2007,37624
남,대학생,경남,2007,15487
남,대학생,제주,2007,3543
남,대학생,대한적십자사 외,2007,17353
남,군인,대한적십자사,2007,346583
남,군인,서울중앙,2007,39458
남,군인,서울서부,2007,13238
남,군인,서울남부,2007,32656
남,군인,서울동부,2007,28100
남,군인,부산,2007,14601
남,군인,대구·경북,2007,24705
남,군인,인천,2007,14590
남,군인,울산,2007,4154
남,군인,경기,2007,17134
남,군인,강원,2007,35771
남,군인,충북,2007,14448
남,군인,대전·세종·충남,2007,36198
남,군인,전북,2007,19861
남,군인,광주·전남,2007,20995
남,군인,경남,2007,26327
남,군인,제주,2007,4347
남,군인,대한적십자사 외,2007,1670
남,회사원,대한적십자사,2007,291938
남,회사원,서울중앙,2007,26605
남,회사원,서울서부,2007,25931
남,회사원,서울남부,2007,35124
남,회사원,서울동부,2007,18315
남,회사원,부산,2007,33950
남,회사원,대구·경북,2007,18032
남,회사원,인천,2007,15641
남,회사원,울산,2007,17230
남,회사원,경기,2007,28548
남,회사원,강원,2007,3746
남,회사원,충북,2007,7632
남,회사원,대전·세종·충남,2007,15251
남,회사원,전북,2007,8042
남,회사원,광주·전남,2007,19578
남,회사원,경남,2007,14268
남,회사원,제주,2007,4045
남,회사원,대한적십자사 외,2007,15726
남,공무원,대한적십자사,2007,45352
남,공무원,서울중앙,2007,4231
남,공무원,서울서부,2007,2266
남,공무원,서울남부,2007,2575
남,공무원,서울동부,2007,2929
남,공무원,부산,2007,3364
남,공무원,대구·경북,2007,3316
남,공무원,인천,2007,1950
남,공무원,울산,2007,1001
남,공무원,경기,2007,3758
남,공무원,강원,2007,1622
남,공무원,충북,2007,2555
남,공무원,대전·세종·충남,2007,3899
남,공무원,전북,2007,2792
남,공무원,광주·전남,2007,4400
남,공무원,경남,2007,3367
남,공무원,제주,2007,1327
남,공무원,대한적십자사 외,2007,637
남,자영업,대한적십자사,2007,51072
남,자영업,서울중앙,2007,4118
